ID_REF,GSM1178970,GSM1178971,GSM1178972,GSM1178973,GSM1178974,GSM1178975,GSM1178976,GSM1178977,GSM1178978,GSM1178979,GSM1178980,GSM1178981,GSM1178982,GSM1178983,GSM1178984,GSM1178985,GSM1178986,GSM1178987,GSM1178988,GSM1178989,GSM1178990,GSM1178991,GSM1178992,GSM1178993,GSM1178994,GSM1178995,GSM1178996,GSM1178998,GSM1178999,GSM1179001,GSM1179002,GSM1179003,GSM1179004,GSM1179005,GSM1179006,GSM1179007,GSM1179008,GSM1179010,GSM1179012,GSM1179015,GSM1179016,GSM1179017,GSM1179018,GSM1179021,GSM1179024,GSM1179025,GSM1179026,GSM1179027,GSM1179030,GSM1179033,GSM1179035,GSM1179036,GSM1179037,GSM1179038
AEN,5.909331397,5.843416799,6.615522213,5.293888093,6.284368764,5.772333625,5.68016613,6.051004472,5.726677437,5.448246171,6.418846659,5.555466811,5.392166347,5.32205721,5.3685927,5.545231938,4.831736396,5.572931212,5.612139261,5.425453837,5.615838119,5.294231341,5.546956425,5.192848411,5.373141974,5.00311735,5.962375579,5.567679906,5.787419695,6.204338788,6.262601034,5.737336526,5.632689854,5.434188476,5.875082085,5.076531638,6.062685432,7.221183005,6.173289001,5.601044522,4.892722459,6.17789415,5.813390178,5.41241094,5.322273563,5.425563163,6.408181053,5.550505905,5.467228974,5.419779828,5.748862562,6.641932077,5.642968716,5.637636649
ATF3,6.126202714,4.125305338,6.436316529,4.550411098,4.722589394,4.229311351,5.407460172,4.987228095,5.745250577,4.421030618,4.249051988,6.296753572,4.917983087,3.743675355,4.44479322,5.160813589,4.951837633,7.614630042,5.847857113,5.125244903,4.598378468,5.012516055,4.836915678,4.269936563,5.255050226,4.328131632,4.385417157,3.84751088,4.411810329,4.225102734,4.455495114,4.903891269,7.377090701,4.85020672,4.766831316,4.332333157,4.391037771,5.798186985,5.993414368,4.964220174,4.751857246,5.322770715,5.867904584,4.632641694,4.10070176,6.110991116,4.570112653,4.711175122,4.932339607,4.354511589,5.46798375,4.50299573,4.432561498,4.345060212
BAX,6.350517215,6.531484709,6.918734161,6.239594366,6.706279089,6.453930626,6.34246964,6.308787512,5.523694004,6.352745456,7.287118147,6.062515063,6.227235412,6.196438765,6.264432467,6.301493611,6.290214841,6.167644218,6.239810243,5.972709963,6.19318695,6.376974462,6.125199304,6.28412274,6.221643295,6.283967407,6.655616699,6.041304446,6.558689471,6.917159202,6.615058976,6.751365662,6.155287828,6.033602449,6.394914976,6.13843066,6.482628879,6.647254038,6.51830358,5.900279332,6.051113852,7.052229068,6.311037933,6.620815792,6.121820269,6.219564899,6.864526172,6.482701924,6.107637111,6.230079542,6.432481659,6.577628989,6.298484665,6.382461255
BBC3,5.540449194,4.975333987,5.530119722,5.210920087,5.880832604,5.419241626,5.151478598,5.056100769,5.166554912,5.500038786,5.455004313,5.351358723,5.422925174,5.558912779,5.081825734,5.075392979,5.146170089,5.322664173,5.508488795,5.403682741,4.900925848,5.153544137,5.09628742,5.239159821,5.164286579,4.953734651,5.228402052,4.736094752,5.547078084,4.66802427,4.989682979,5.443828367,5.117342828,5.341091855,5.254982589,4.712505326,5.026345662,5.279392299,5.216907703,5.342631,5.465988105,5.584010493,5.193816982,5.319159419,4.773459079,5.340196112,5.294561388,4.857178116,5.292821,4.779202476,5.187288036,4.987574788,5.052204657,5.594196162
BLOC1S3,5.665538506,6.120344311,6.318629377,6.187466925,6.06256676,6.430974102,6.40956365,6.186669338,6.085258125,6.446269081,6.395189414,5.878107619,6.129145486,6.331066329,6.114486768,6.08418898,6.643664228,5.89645481,6.245715105,5.911747691,5.850982667,6.109905657,6.335433139,6.124560005,5.964185449,6.442701183,6.109335751,6.014718837,6.854453965,6.014364452,6.01168535,6.48460229,6.017652892,6.249830993,6.455795875,6.085416806,6.331926969,7.133206959,6.049141975,5.933553889,6.131569565,6.777042344,5.939508249,6.583278456,6.356718147,6.579841976,6.185253777,6.440761119,6.137421211,6.256393491,6.114827118,6.500577955,6.215866474,6.226069189
CDKN1A,7.303574255,6.100416794,7.5970111,6.336680575,7.338210364,6.761046424,6.423817179,7.275212483,6.588960803,6.571653019,7.892874383,7.017650514,6.472797617,6.229488317,6.80523259,6.345500761,5.915399448,7.240316292,6.094229853,6.059845655,5.999811317,6.027063972,6.290497482,5.245925634,6.773265105,6.422159946,7.807027017,6.225101747,6.808030366,7.631714556,7.060622365,6.986886467,7.226258936,5.481075726,6.075667089,5.325087559,7.542193038,8.714502061,8.05028454,6.302772205,5.454710596,7.608743519,7.043679714,5.585533328,5.623877013,7.055794714,7.801187273,7.09956478,6.727856132,5.835615135,7.031345058,7.539096474,7.069853987,6.328632116
CSF1,7.068956468,7.150024567,6.66487962,6.957280674,6.673464846,7.057764384,8.198474103,7.131319323,7.109312224,7.067343577,6.942595249,7.110417181,6.960530044,6.930187583,7.312298497,7.263370907,7.336163733,6.979761956,6.94029927,7.108330602,7.022408549,6.462089535,7.120546386,7.384847731,7.00480311,6.956791906,7.032670302,7.413275635,7.239436606,7.101121192,7.144738303,6.971871928,7.229215107,7.041249221,7.298243854,7.521148643,6.974200094,7.528056621,7.083961074,7.187339188,6.927312556,7.224606327,7.020636945,7.05766179,6.699092326,7.593801141,7.389635881,7.046494086,7.201028558,7.125489511,7.366047155,7.376169411,7.326035507,7.104033917
DDIT3,6.564205981,6.325111636,6.37781671,7.047041219,6.326059067,7.128054908,6.806667978,6.667843961,6.489918142,6.509923363,7.265187551,6.570430495,6.36382756,6.160092085,6.336400129,6.549132917,6.560338538,6.806885312,6.195823149,6.086982603,6.482735399,7.324700671,6.583295734,6.502773964,6.592706982,6.593684997,6.204868393,6.470079987,6.781302048,6.557057183,6.350033348,6.279158211,6.852943732,6.915636719,6.908767869,6.393895167,6.710746994,8.060197402,5.866430925,6.117231972,6.103928106,6.08933702,7.584582303,6.520216627,6.650167083,6.096151595,6.246945932,6.941553324,6.325127577,7.147774906,6.08027994,6.603854174,5.95115494,6.593684997
EDA2R,3.560685407,3.719161498,4.170450833,3.514637688,4.486768293,3.813968555,3.310461473,3.314571413,3.547243048,3.382797921,5.878541347,3.62526736,3.707404473,3.61283823,3.894413223,3.668291551,3.268008009,3.694149326,3.386751391,3.28112085,3.771452623,3.198176079,3.812594213,3.487135174,3.59325464,3.546878488,4.127786069,3.371276998,3.876760569,5.845023166,4.305617459,4.029357019,3.234387584,3.394751332,3.764108801,3.578294772,3.955465624,3.90518104,3.788851244,3.496361676,3.909666699,4.100815519,4.639710399,3.852925576,3.776707603,3.517651079,4.816653122,3.794905516,3.657613999,3.540079289,3.163052894,5.041283882,3.528700391,3.971452594
GDF15,7.512164553,5.718487304,8.954399566,4.920737442,6.604399309,5.34155614,7.725720116,7.821905909,6.960619341,6.796173781,5.550163658,7.479933775,5.560184755,4.626022397,6.127739498,7.183679707,5.268843725,7.664502715,6.822569236,5.733673849,6.186794449,5.954781052,6.824428685,5.109310031,5.9698601,5.881595105,6.129087857,5.979231852,5.862650786,6.502788715,7.042246126,7.450432032,8.214642078,6.26095039,6.031210685,4.915530305,6.414847435,9.574074844,7.591886507,7.851021474,4.880040073,7.697400693,7.443446138,6.178321445,4.388804685,6.855237218,6.965070598,7.602780544,5.548319463,5.735531482,7.642770625,6.361745009,6.88014676,6.349793307
MDM2,8.728507726,8.746997896,8.930915731,8.639466881,9.184437319,8.613561658,8.072276387,8.501882977,8.940180009,8.014690811,8.883509441,8.849570553,8.531691806,8.295604533,8.901589269,8.583870732,8.178285122,8.63866135,8.294681543,8.209037135,8.172436261,8.326967569,8.7786141,8.020714629,8.989922953,8.422581009,8.89948372,8.823755138,7.850565186,9.537711537,8.984388798,8.177406588,8.598118129,8.634321766,8.353500218,8.611599048,8.910522935,9.307795949,9.873916157,8.987449909,8.590638556,8.539007684,8.080611905,7.888223639,8.643146842,8.402452434,8.647120599,8.795477065,8.085873822,8.250783467,8.099862423,8.627107248,8.164781837,8.290747199
PHLDA3,4.830785597,4.542754115,4.755905887,4.069168866,5.008564035,4.573370056,4.249857246,4.469326896,4.351234794,4.866900096,5.161406741,4.182464992,4.491428166,4.387470222,4.29654626,4.134961565,4.122287781,4.415795487,4.443383599,4.182173344,4.144624642,4.649240484,4.180652577,4.672185632,4.329194419,3.856615847,4.833101709,4.412791922,4.494309317,5.072967975,4.809364589,4.870291104,4.826658375,4.37424569,4.390526918,4.235258505,4.566350455,4.249877326,4.203302179,4.566430173,4.74729763,5.023596984,4.55797212,4.491989705,4.003121316,4.629648679,4.729213787,4.834488433,4.460069576,4.263258465,4.072824168,4.994057872,4.438823698,4.37901223
PLCL2,6.35616315,6.215891322,6.153859953,6.277432864,6.031622276,6.366284118,6.149380377,6.405128808,6.301068121,6.139050351,6.224807518,6.453851195,6.065191443,6.111183382,6.121170775,6.184136167,6.044692873,6.095090978,6.193574452,6.002536782,6.531025267,6.763570219,6.607470457,5.828004696,6.030798365,6.273669816,6.124755766,6.35819732,6.523828809,6.56626535,6.125300435,6.214896029,6.424327654,6.346256192,6.323930162,6.1779037,6.448912707,5.428221428,6.257294518,6.739378561,6.339085907,6.630957247,6.335870874,6.42022626,6.309740436,5.865061397,6.338564402,5.866654298,6.27229543,6.186461421,6.27634169,6.460555168,5.803032516,6.350535701
PLK2,7.322106771,6.923890761,8.215196057,6.306500306,6.621777474,6.940541377,7.433769341,7.425158604,7.249071564,6.671321308,6.983086931,7.391724037,6.900672061,5.664191086,7.16941753,7.101738987,6.832158276,6.840343666,6.851991463,6.321602558,6.865922761,6.104905832,6.845534281,6.063440049,6.329318786,7.015184103,6.832763037,6.56568653,5.863159577,7.638402141,7.146792121,6.77413932,6.959665464,7.069735048,6.884794822,6.548981391,7.252320897,8.357056593,7.574149109,7.428336486,6.353931648,7.34756819,7.534101515,5.753039879,6.390088049,6.440376478,7.034453875,6.688184358,6.42891348,6.726956601,7.289608162,7.118992631,6.429787951,6.726020739
