ID_REF,GSM1178970,GSM1178971,GSM1178972,GSM1178973,GSM1178974,GSM1178975,GSM1178976,GSM1178977,GSM1178978,GSM1178979,GSM1178980,GSM1178981,GSM1178982,GSM1178983,GSM1178984,GSM1178985,GSM1178986,GSM1178987,GSM1178988,GSM1178989,GSM1178990,GSM1178991,GSM1178992,GSM1178993,GSM1178994,GSM1178995,GSM1178996,GSM1178998,GSM1178999,GSM1179001,GSM1179002,GSM1179003,GSM1179004,GSM1179005,GSM1179006,GSM1179007,GSM1179008,GSM1179010,GSM1179012,GSM1179015,GSM1179016,GSM1179017,GSM1179018,GSM1179021,GSM1179024,GSM1179025,GSM1179026,GSM1179027,GSM1179030,GSM1179033,GSM1179035,GSM1179036,GSM1179037,GSM1179038
EGR1,11.19256504,6.131572714,10.93838768,5.845566293,10.23925576,5.964280822,11.24146276,11.49041816,11.21668917,11.88667455,6.233086243,10.7264298,9.861553091,7.854109938,9.166976846,9.610256921,10.23066136,11.66456812,10.05418756,8.924037183,11.00514434,7.861444294,8.959016193,9.09723069,9.578315264,8.113004028,10.03245854,10.55581318,11.15762641,6.633073785,7.118338196,10.27011496,11.84241778,10.03622847,10.52840402,9.350456256,7.12875183,10.78864059,9.943286998,9.509753352,9.696711222,10.83310291,11.62950313,10.84494893,5.375679239,11.51681909,10.14685577,10.40050749,10.28621277,10.65865231,9.882354262,9.613270115,9.654263996,11.51586476
NBL1,4.920730497,4.324464906,4.24947356,4.560811317,4.569966936,4.439234026,4.761613069,4.48910767,4.841854796,4.535238835,4.791333239,4.913787168,4.906602068,4.896399039,4.899803176,5.024918809,4.638053835,5.011510725,4.721595178,4.655024316,4.655763387,4.477843306,4.412310374,4.812973431,4.821804907,4.355464384,4.340188407,4.850326759,5.06894682,4.586331328,4.90608698,4.53207443,4.712672183,4.582770289,4.754835056,4.85709364,4.660653971,5.204932445,4.988063417,4.903149147,4.848522282,4.686874019,5.211288931,4.530318141,4.451801086,4.64531504,4.974587788,4.483229381,4.800239848,4.613358624,4.81261884,4.804084774,4.699908959,4.464456311
HTR6,3.875558741,3.571257918,4.001951064,3.677955972,3.914237686,3.491410366,3.478804378,3.537231669,3.579973068,3.297634691,3.66302742,3.617951247,3.537231669,3.537231669,3.104496056,4.005291572,3.523128117,3.269132239,3.774869747,4.040128329,3.343642941,3.742130747,3.11880125,3.592987818,3.541758393,3.488929624,3.26635507,3.096605575,3.518771859,2.851526783,3.59825136,3.992721735,3.246373676,3.395473672,3.338703648,3.189911987,3.521187491,3.270685877,3.523611358,3.44237023,3.974917513,3.399205094,3.639553901,3.813628233,3.280853984,3.978351274,3.394314533,3.731921533,3.358437969,3.799379513,3.407085079,3.312749742,3.487176753,3.311131049
UBXN10,7.004903557,6.00068152,8.890521307,5.775868174,6.092940784,6.048358826,5.452975247,6.805911362,6.661972228,6.239481295,6.722795148,5.168207164,5.317798659,4.841449594,5.753174785,5.044335638,5.073540894,4.871910479,6.565926943,6.744619636,5.221907561,5.836233117,6.243164424,5.880737267,5.605190136,5.500042052,5.893969947,4.687910597,5.584049822,7.268815015,7.210935063,4.923483123,5.115349693,5.886495593,6.014812285,4.264549715,6.992595429,6.442275232,6.217629068,5.663022288,6.026543028,5.152710671,4.825226419,5.505198932,5.097286553,5.632023714,5.77964474,5.894836345,5.409610009,5.580532287,6.292190151,6.125850252,5.589564998,5.893892578
HS6ST1,7.453554117,7.904017821,8.557581309,8.768528683,8.125935122,8.045600007,8.093329786,7.89624964,7.519439268,8.17601255,8.467799154,7.509548588,8.177301876,7.554911326,7.561035062,7.774951001,7.693987507,7.134758142,8.093768143,8.108773924,7.880171451,8.670399938,7.538721038,7.755986951,7.704072022,7.735151453,7.844508287,7.421785926,8.595475708,7.637752248,8.01240616,7.561399716,7.825303402,8.03248349,8.094508387,7.767058484,8.314810359,8.424297505,7.927879249,8.010152907,7.945381262,7.358367445,7.340325897,8.62684767,7.811536845,8.502928308,7.821040081,7.252913291,7.542657649,7.940193568,8.282641546,7.76286608,8.697781945,7.917927851
HSPG2,4.638147282,4.153514383,4.460383441,4.442599449,4.358194116,4.19444992,3.940139214,4.210899305,4.161809487,4.278565764,4.638968771,4.198101767,3.940125181,4.13343164,4.305149834,4.231024149,4.765975404,4.36252756,4.272514591,4.687116065,4.450438875,4.449938732,4.117346417,4.425780167,4.280576741,4.08040362,4.219284019,3.954203136,4.897372266,3.936633865,4.172955169,4.547928224,4.294764525,4.02227489,4.465866619,4.088966738,4.070432023,4.193426094,4.332646591,4.415322024,4.545793208,4.448407446,4.35315487,4.611186786,4.30859053,4.303637157,4.294554535,3.953269671,4.61650884,4.311152402,4.755307912,4.270186619,4.207933744,4.149515425
EPHA8,4.06635391,3.668127218,4.072681279,3.772215015,4.414722363,3.601251162,3.848039368,3.769878452,3.623384351,3.972390041,3.74143333,3.997795421,3.884909347,4.02011287,3.302476632,3.721325897,3.615872831,3.554313721,3.867152821,4.04550761,3.735768026,3.901872114,3.881922515,3.771915816,3.612433585,3.884976768,3.639990494,3.332018031,4.300553772,3.412909467,3.65265188,4.031215864,3.450681709,4.018182906,3.846611938,3.647776101,3.643008718,3.87673252,3.640776157,3.322786945,3.749235851,4.047672775,3.935750407,4.036224753,3.504971177,4.264788922,3.944070598,3.672328637,3.779519227,3.533796005,3.562777242,3.890346459,3.5836082,3.956676128
C1QC,9.105976607,9.206569755,8.6535681,8.364330221,10.35233472,8.199305762,10.70488874,8.326482868,8.281874606,9.543854986,8.28927331,9.289155022,9.19037499,8.78841775,9.29372154,9.747985302,9.286421907,9.210936381,9.424406788,10.25984498,9.352441827,7.654935355,9.32732554,9.647337714,9.453223333,9.526884084,8.833200807,8.628951212,9.703402067,7.628748903,8.256174855,9.169496498,10.06448375,9.422448597,9.529288831,9.985453344,8.141919529,9.718427721,9.463858729,9.240902073,9.118150629,7.97947821,9.471536115,9.775197805,7.450520304,10.30271511,9.759641874,9.905722056,9.434868378,9.864764029,10.09893836,9.816847702,10.0401254,9.352423586
LYPLA2,7.552206651,7.373771768,8.019053979,7.618563767,7.785791103,7.530665372,7.672241104,7.534501703,7.305213007,7.711034938,8.01003835,7.246730322,7.632780733,7.703249242,7.011552371,7.415846921,7.274948582,7.186150671,7.229804074,7.648734338,7.172398246,6.632809114,7.005476352,7.885202374,7.039286563,7.484892875,7.42262364,6.942282149,7.320705968,7.223970561,7.238928571,7.324967392,7.114141445,7.118333444,7.564902252,7.069561274,7.103271282,7.000169601,6.9058812,6.914913154,6.844703754,6.589064232,7.399100663,7.79810639,6.914639235,7.742777919,7.138320127,7.807495929,7.267365635,7.636178042,7.388037224,7.757840094,7.482053711,7.399049073
CLIC4,9.593864913,9.538224902,9.002368334,9.544187971,9.439483519,9.547520204,9.813843795,9.370756649,9.161383643,9.496862772,9.301630228,9.385119602,9.38762838,9.37684475,9.47049039,9.556255243,9.456230753,9.272381781,9.625109823,9.320060206,9.623896744,9.000061054,9.512676939,8.934133264,9.178770392,9.316991788,9.479820225,9.918856071,9.316740504,9.714459162,9.314088933,9.40380553,9.331612462,9.597692178,9.312762083,9.315091101,9.27022517,9.207760318,9.706494178,9.691388463,9.840746118,9.546422647,9.568858987,9.351249786,9.455203242,9.422718316,9.274388404,9.479882628,9.557179637,9.247789838,9.3234208,9.359877222,9.156890947,9.302845529
