Gene_name,GSM1178970,GSM1178971,GSM1178972,GSM1178973,GSM1178974,GSM1178975,GSM1178977,GSM1178978,GSM1178979,GSM1178980,GSM1178986,GSM1178987,GSM1178988,GSM1178989,GSM1178993,GSM1178995,GSM1178996,GSM1178998,GSM1178999,GSM1179001,GSM1179002,GSM1179003,GSM1179004,GSM1179006,GSM1179008,GSM1179010,GSM1179015,GSM1179017,GSM1179018,GSM1179021,GSM1179024,GSM1179025,GSM1179026,GSM1179027,GSM1179033,GSM1179035,GSM1179036,GSM1179037
KLHDC7A,5.2081075619999995,5.465160169,5.488806224,6.026182406,5.7060526739999995,5.732358872000001,4.758172528,5.061863492,5.087494168,5.340887347,5.55935407,5.076044743,5.5480896379999995,5.287043247,5.274322648,5.324676518,5.935357526000001,4.975846281,5.672155727000001,5.2606733210000005,5.492398715,5.556391473,5.557516051,5.482737879,5.1723679460000005,4.9975713960000006,5.231329531,6.043702188999999,5.185784704,5.968719354,5.404029853,5.2782896280000005,5.771371348,5.476078772999999,5.232688886,5.206148658,5.761675349,4.994064653
RPS14,5.60345299,5.648485601,5.467477411,5.568772827999999,5.790783536,5.4261743760000005,5.456279744,6.16918857,5.544740662000001,5.310348023,5.258260325,5.341488881,5.4851001660000005,5.409182215,5.0446944039999995,5.664384899,5.26531774,5.630579443999999,5.0226515880000004,5.425758281,5.3823854739999994,5.002590913,5.603168117,5.146249986,5.302065089,5.602153362999999,5.173142428999999,5.384786331,5.381990337,5.3414467960000005,5.532870797,5.741315506,5.0451103669999995,5.36700836,5.478694756,5.256966118999999,5.234595602,5.10822301
OTUD3,4.386258412,4.361656743999999,4.29200693,4.749169166000001,3.854556137,4.813371786,4.027128536,4.285227947,3.877765769,4.387638191000001,4.811293221000001,4.325686,4.504679412,3.8704609260000002,4.390436584,4.405479661,4.482208685,4.599863561,4.198208633999999,4.512226085,4.163461506,4.118293706,4.171397484,4.331056026000001,4.353225708,4.820013768,4.42361703,5.09343876,4.452940573,4.3207199780000005,4.678837313,3.639834543,3.9114548769999997,3.919605018,4.437476027,4.191494813,4.172225063,4.36544269
HS6ST1,7.453554117,7.904017821,8.557581309,8.768528683,8.125935122000001,8.045600007,7.89624964,7.519439267999999,8.17601255,8.467799154,7.693987507,7.134758142000001,8.093768143,8.108773924,7.755986951000001,7.735151452999999,7.844508287000001,7.421785926,8.595475708,7.637752248,8.01240616,7.561399716,7.825303402,8.094508387000001,8.314810358999999,8.424297505,8.010152907,7.358367445,7.3403258970000005,8.62684767,7.811536845,8.502928308,7.8210400810000005,7.2529132910000005,7.940193568,8.282641546,7.76286608,8.697781945
CDC42,5.710711127000001,5.482390342,6.062160313,5.9238146060000005,5.878291192000001,5.783043355,6.192718016000001,6.110274842000001,5.899080494,6.132846439,5.355934372,5.966936747,5.809154885,5.352171212,5.695830715,5.558007185,5.930761815,6.191216305,5.587019067999999,6.057774039,5.971932056,5.873571441,5.898157392999999,5.584644407000001,5.853659676,5.822579815,6.339273232,6.176858756000001,5.701329545,5.926893322000001,5.731829902,5.351135913999999,5.188757853,5.739880997,5.738988352000001,5.7694777870000005,5.858113521,5.692383119
RCAN3,5.839941673999999,5.387403003999999,5.396809651,5.301214143,5.537015428999999,5.526012807000001,5.517106545,5.315271982,5.262452542,5.395118002999999,5.061022317,5.162099769,5.281321776,5.667401384,5.1422825780000005,5.4363741160000005,5.795115665,6.1915957960000005,5.889078682,6.37119982,6.585027178,6.027097707,5.344295314,5.868368865,6.156255662,5.094999554,5.78601497,6.165251658,5.23792199,5.454349631,5.0653877,5.4130901929999995,6.248406473999999,5.523996171,6.214115922,5.699271755,5.65090001,5.320685451
CLIC4,9.593864912999999,9.538224902,9.002368334,9.544187971,9.439483519,9.547520204,9.370756649,9.161383642999999,9.496862772,9.301630227999999,9.456230753,9.272381781,9.625109822999999,9.320060206,8.934133264,9.316991788,9.479820225,9.918856071,9.316740504,9.714459162,9.314088932999999,9.40380553,9.331612462,9.312762082999999,9.27022517,9.207760318,9.691388463,9.546422647,9.568858987,9.351249786,9.455203242,9.422718316000001,9.274388404,9.479882628,9.247789838,9.323420800000001,9.359877222,9.156890947
TMEM50A,8.799961693,8.945778356,8.793033038999999,8.538605885,9.253362852,8.060973225,8.762362849,8.726220626,8.650351947,8.531073986,8.825230225,8.813513178,9.069277062000001,8.942540225,8.583476129,9.027199027,8.914937897,8.977025678,8.216556293,9.015921012,9.271233946,9.049326337,8.964331157,9.099650987,8.959306282,9.268901608,8.777261341,8.468876686,8.981736496,8.155606531,8.567807825,9.021143433999999,9.108308934,8.636107485,9.020718339,8.920139068,8.771549361,8.944367403
MAN1C1,7.276334599,6.94533452,6.867259702999999,7.073433341,7.012617777999999,7.217392651,7.580397447999999,8.327388848,7.025421917999999,6.572406471,7.465821776,8.214793712999999,7.525975381,7.787499037000001,7.189051547,6.930237539,7.666776992999999,7.34025847,7.58525895,7.001669098,6.7448404889999996,6.906684906000001,7.572306012,7.22516746,6.698937261,7.271660664,7.17100024,7.100667068,6.835270896,7.183432055,7.281623736,8.14189274,7.744942889,6.985351483,7.0655014210000004,7.600982789,7.408418345,7.508595666000001
MTFR1L,8.545655892000001,8.229652624,8.199949955,8.70963124,8.10699436,8.784447286,8.665767508,8.281621291,8.42852318,8.527895852,8.157274582000001,7.932822589,8.060365037999999,8.139081469,8.717763507999999,8.180570631,7.967416211000001,7.973750302000001,8.020638367,7.944849929,8.016320378,8.098843744,8.037250107,7.903060977000001,8.248790039,7.1933151010000005,7.5787159,7.691063552999999,7.946104337,8.132517431,8.295082495,8.291426468,7.88633973,8.500786622,8.220668105,7.875959562999999,8.255826276,7.8972278739999995
EXTL1,4.122836367,3.7239840089999996,4.374965588999999,4.04028356,4.204918674,4.052921523999999,3.6612827930000003,4.114453084,4.292988029,3.65171248,3.9095361910000004,4.245011788,3.996741767,4.154080357,3.643326455,3.95532447,3.732986383,3.677908631,3.9480228110000004,3.9680626410000004,3.888271127,4.22929351,3.798775315,3.852182567,3.912770943,4.200058376,4.183924172,4.207722877,3.712130993,3.7824991989999996,4.010147529,3.953059449,3.788475666,3.9591076060000003,3.729578366,3.572593275,3.73528632,4.076838629
