ID_REF,GSM1178970,GSM1178971,GSM1178972,GSM1178973,GSM1178974,GSM1178975,GSM1178976,GSM1178977,GSM1178978,GSM1178979,GSM1178980,GSM1178981,GSM1178982,GSM1178983,GSM1178984,GSM1178985,GSM1178986,GSM1178987,GSM1178988,GSM1178989,GSM1178990,GSM1178991,GSM1178992,GSM1178993,GSM1178994,GSM1178995,GSM1178996,GSM1178998,GSM1178999,GSM1179001,GSM1179002,GSM1179003,GSM1179004,GSM1179005,GSM1179006,GSM1179007,GSM1179008,GSM1179010,GSM1179012,GSM1179015,GSM1179016,GSM1179017,GSM1179018,GSM1179021,GSM1179024,GSM1179025,GSM1179026,GSM1179027,GSM1179030,GSM1179033,GSM1179035,GSM1179036,GSM1179037,GSM1179038
EGR1,11.19256504,6.131572714,10.93838768,5.845566292999999,10.23925576,5.964280822,11.24146276,11.49041816,11.21668917,11.88667455,6.233086243,10.726429800000002,9.861553091000001,7.854109938,9.166976846,9.610256921,10.23066136,11.66456812,10.05418756,8.924037183,11.00514434,7.861444294,8.959016193,9.09723069,9.578315264,8.113004027999999,10.03245854,10.55581318,11.15762641,6.633073785,7.118338196,10.27011496,11.84241778,10.03622847,10.52840402,9.350456256000001,7.12875183,10.78864059,9.943286998,9.509753352,9.696711222000001,10.83310291,11.62950313,10.84494893,5.375679239,11.51681909,10.14685577,10.40050749,10.28621277,10.65865231,9.882354262,9.613270115,9.654263996000001,11.51586476
UBXN10,7.004903557,6.00068152,8.890521307,5.775868174,6.092940784,6.048358826,5.452975247,6.805911362000001,6.661972228,6.239481295,6.722795147999999,5.168207164,5.317798659,4.841449594,5.753174785,5.044335638,5.073540894,4.871910478999999,6.565926942999999,6.744619636,5.221907561,5.836233117000001,6.243164424,5.880737267000001,5.605190136,5.500042052,5.893969947,4.687910597,5.584049822000001,7.268815015,7.210935062999999,4.9234831230000005,5.115349693,5.886495592999999,6.014812285,4.264549715,6.992595429,6.442275232,6.217629068,5.663022288,6.026543028,5.152710671,4.825226419,5.505198932000001,5.097286553,5.632023714,5.77964474,5.894836345,5.409610009,5.5805322870000005,6.292190151000002,6.125850252,5.589564997999999,5.893892577999999
LYPLA2,7.552206651,7.373771767999999,8.019053979,7.618563767,7.785791102999999,7.530665372,7.6722411039999985,7.534501702999999,7.305213007000001,7.711034937999999,8.01003835,7.246730322,7.632780733,7.703249242,7.0115523710000005,7.415846921,7.274948582,7.186150671,7.229804074,7.648734338,7.172398246,6.632809114,7.0054763520000005,7.885202373999999,7.039286562999999,7.484892875,7.42262364,6.942282149,7.320705967999999,7.223970561000002,7.2389285710000015,7.324967392,7.114141445,7.118333444,7.564902252,7.069561274,7.103271282000001,7.0001696010000005,6.9058812000000005,6.914913154,6.844703754,6.589064232,7.399100663,7.79810639,6.914639235,7.742777919,7.138320127,7.807495929,7.267365635,7.636178042,7.388037224,7.757840094,7.482053711,7.399049073
HMGN2,9.450186049,9.84663682,9.879766786,9.110460256,9.659427543,10.00913452,9.895207391,10.23375811,9.591069427999999,9.857682602999999,9.962970247000001,9.754747692999999,9.469550889,9.403269798,9.432988245,9.570461648,9.530786545,9.330023525,9.042479048999999,9.09037779,9.483177984,9.692136534,8.828492551,9.386246343,9.610980818,9.458966835,9.664960887000001,9.752650649,9.303542877,9.615891568,9.136100077,9.53352151,9.480489468,9.791009977,9.278279385,9.725535011,9.442765969,9.225870361,9.04064661,8.735301607,9.833321875,9.811028605,9.453820249,10.01427713,8.546753065,9.805451354,9.706296399,10.43608324,9.509443687000001,9.554429969,9.487850992,9.628520717,9.634524913,9.619708126
NFYC,7.881440942999999,7.641830972999999,7.541987247000001,8.132046695,7.519668497,7.926333386,8.037392322,7.936105783999999,7.375989547,7.744617431,7.6959783060000015,7.617888997,7.735821187000001,7.560907271,7.7943659310000015,8.099871863999999,7.54962731,7.875707444,7.935919179,7.97851154,8.065408462,7.459755984,8.030853933,7.896812762000001,7.777108216,7.965951938,7.695469709,7.55201495,7.89607488,7.73879062,7.575242672999999,7.91752849,7.692436892999999,7.941820497,7.809555282000001,7.975278791,7.43543484,7.295129776,7.563512562,7.570448202000001,7.852861875,8.286984706,8.202190485,7.281437326,7.761864985,7.619098088999999,7.944990732000001,7.521329841,7.776410574,7.927822906,7.777819497,8.197220971,7.574233242000001,8.133370714
CDKN2C,4.161855053,4.601388782,4.0695345210000005,3.819915383,4.375945688,3.986560314,3.829117258,4.13137374,4.044503827,3.723715362,3.71625835,3.872125638,3.704429038,3.988218418,4.063944976,3.889871224,4.326127864,4.003575485,3.709173617,3.844652662,3.832686603,3.782122953,3.939946899,3.719323118,4.0039325980000005,3.944867288,4.041429939,4.129342154,4.221075757,4.133431441,4.075886087,4.500728661,3.787798281,4.094657258,4.043930283,3.647536809,4.0747392410000005,4.13339953,4.258154265,3.984529903,3.756234448,3.901069412,3.577546862,4.427599862,4.08694298,4.2267661830000005,4.011731897,4.009051974,3.987793428,4.187583688,4.044309229,3.924993165,4.204056276,4.105134225
USP1,5.93150434,6.012501403,5.819802269,5.57811136,6.127667015,5.581044059,5.885448137000001,5.740010895,6.0687183010000005,5.651947097000001,5.533991102000001,5.938498552,5.879317997999999,5.658810064,5.962067485,5.677642679,5.8623517110000005,5.669308612000001,5.615937453,5.99319473,5.888256853,5.737762732,5.705205485,5.664513312,5.928881949,5.854287157999999,6.068308632999999,6.1329428660000005,5.255845496,6.110497727,5.8818982570000005,5.744284921,5.909926484,6.111105511,5.811094087000001,5.979905385,5.8657675860000005,6.294544555,5.873280287,5.96373383,5.879483919,5.81224182,5.955248841,5.123408008999999,6.00557619,5.740371247000001,5.817738003,5.297005464,5.901015874,5.876581042000001,5.87410269,5.844913582999999,5.791773516,5.584627764
PRPF3,6.67851509,7.010190435,6.5734218570000005,7.237337462,5.889620845,7.597959873,6.681856503,7.208267912999999,6.885295865,7.1083063960000015,7.636371538,7.223847887000001,7.0764497089999985,7.223173227,6.9352415989999985,7.345317238,7.4394265210000015,7.420051591,7.318916911,7.149761947999999,7.680383142,7.7736312660000015,7.5366352339999985,7.488660694,7.700085859,7.203164233,6.949626706,7.108126918,7.159922188,7.073573362,6.8834534939999985,7.167609203,6.992879536,7.500982700000002,7.401554334,7.364057966,7.025503845,7.795683522000001,7.144270392,6.801962178999998,7.284629046,7.935065242999999,7.67701114,6.908160117,7.669127426,6.564636955,7.306055257000001,7.620248452999999,7.274547417999999,7.162716043,7.21282728,7.21793795,7.258872338,7.495092999999999
PBX1,7.738692232000001,6.699993386,6.341881255,6.946174536,7.184364289,7.111656209,7.1700898760000005,7.574049842999999,6.858342427999999,6.951987717000001,6.236016242000001,6.800153482000001,6.847150491,6.717428636,7.293261019,7.330761859,6.624440067999999,7.202406361,6.999417611,6.822808652999999,7.38712408,6.245805249,6.779034393,6.810420855,6.766706265,7.423977431,8.022941085,7.69124358,6.932162002999999,8.337467532,7.831531657999999,7.323663592999999,7.039014179,7.064537418,6.889184345,6.886037896,7.36514711,6.436670362,7.3541067039999986,7.259892047,7.849107712999999,7.848206535,7.744658547999999,7.125434079,5.810125603,7.174502904,7.808831461,7.413629188,6.944918662999999,7.673012076,7.955678568,7.758869052,6.52786446,7.18856723
RALGPS2,8.636391921,8.598937148,7.913426677,8.410889398,7.81640901,7.953219807999999,7.816556282,8.140090316,8.133586831,7.111471158,7.919975109,8.052573445,8.152319372000001,8.086902895,8.53636916,8.066721975,7.745860191,7.985676173,8.099633648,7.9737028589999985,7.8734413289999985,8.051369174,8.481538285,7.905501982,8.491871295,8.188413553,8.394912112,8.143270851,7.132438217000001,8.26632883,7.521596176,8.117257715,7.487380827999999,8.638565512000001,8.070791317000001,8.105407968,8.027391212000001,7.26615367,8.296962426,8.488872462,8.441539237,7.9404970860000015,7.814758623999999,7.203356911,8.385928051,7.402686814,7.836380871,7.697434584,8.037450619,8.376004907999999,8.088594371000001,8.189914279,7.655135676,8.199611863
