ID_REF,GSM1178970,GSM1178971,GSM1178972,GSM1178973,GSM1178974,GSM1178975,GSM1178976,GSM1178977,GSM1178978,GSM1178979,GSM1178980,GSM1178981,GSM1178982,GSM1178983,GSM1178984,GSM1178985,GSM1178986,GSM1178987,GSM1178988,GSM1178989,GSM1178990,GSM1178991,GSM1178992,GSM1178993,GSM1178994,GSM1178995,GSM1178996,GSM1178998,GSM1178999,GSM1179001,GSM1179002,GSM1179003,GSM1179004,GSM1179005,GSM1179006,GSM1179007,GSM1179008,GSM1179010,GSM1179012,GSM1179015,GSM1179016,GSM1179017,GSM1179018,GSM1179021,GSM1179024,GSM1179025,GSM1179026,GSM1179027,GSM1179030,GSM1179033,GSM1179035,GSM1179036,GSM1179037,GSM1179038
PADI3,3.825196264,3.722251993,3.861658986,3.662202408,4.232254436,3.579491565,3.622107446,3.835039807,3.589449853,4.050061031,3.777647748,3.774485693,4.055070091,3.877068177,3.816042129,3.769869417,3.777907785,3.464814901,3.901245226,3.741069044,3.685069282,3.611180892,3.598620201,3.780365209,3.841207914,3.546156669,3.84514843,3.723783286,4.024043006,3.577920488,3.700815589,3.799224733,3.618759,3.444965581,3.549670915,3.5356061,3.694357318,3.807019899,3.704665552,3.767047069,3.694701866,3.988381195,3.820344132,3.720205248,3.706221628,3.928721768,3.850364254,3.969909605,4.008518438,3.996275704,3.804622473,3.654141596,3.790655089,4.043224845
PADI4,3.797179491,3.465990065,3.688823457,3.62993144,3.990223905,3.526126243,3.789768612,4.023031194,3.650717889,3.682184927,3.673574976,3.68640836,3.605071762,3.324375898,3.386891701,3.375030914,3.776075385,4.25161317,3.790194442,3.579310523,3.586380706,3.735633997,3.68112507,3.401337863,3.998005621,3.672477796,3.488503263,3.451561211,3.522791718,3.280491153,3.552265348,3.693556298,5.230857946,3.358291347,3.869027184,3.173619583,3.293106168,4.318594619,3.501451198,4.083128302,3.411758891,4.140505738,3.741741259,3.622545289,3.624072751,3.765148606,3.856568248,3.400183517,3.913613717,3.740392632,3.797394274,3.404984412,3.849089356,3.551653922
KLHDC7A,5.208107562,5.465160169,5.488806224,6.026182406,5.706052674,5.732358872,5.154930438,4.758172528,5.061863492,5.087494168,5.340887347,5.37873672,5.369569581,4.892999169,5.27456992,5.412880989,5.55935407,5.076044743,5.548089638,5.287043247,5.325724984,4.965479317,5.473366105,5.274322648,5.077694397,5.324676518,5.935357526,4.975846281,5.672155727,5.260673321,5.492398715,5.556391473,5.557516051,5.480844551,5.482737879,5.12589953,5.172367946,4.997571396,4.974798424,5.231329531,5.908422435,6.043702189,5.185784704,5.968719354,5.404029853,5.278289628,5.771371348,5.476078773,5.459714299,5.232688886,5.206148658,5.761675349,4.994064653,5.322298154
CELA3A,4.749083443,4.583549073,4.655632259,4.550953082,5.255161029,4.348808684,4.239546085,4.76367063,4.698530618,4.384919124,4.806693519,4.721648001,4.687759226,4.598099444,4.483332686,5.089049985,4.527556352,4.425969554,4.801461806,4.892669025,4.413831271,4.316511259,4.654758089,4.51626996,4.816608564,4.59171426,4.319675412,4.568008402,4.750694288,4.398104674,4.541098769,4.750872836,4.231219087,4.427483282,4.544255006,4.464924802,4.562590882,4.457795293,4.623941443,4.508402814,4.100830704,5.604250373,4.397433452,4.354083487,4.591442066,5.025760226,4.342019648,4.556107454,5.085705825,3.981553542,4.803080396,4.527901144,5.111736635,4.298767335
CDC42,5.710711127,5.482390342,6.062160313,5.923814606,5.878291192,5.783043355,5.562796926,6.192718016,6.110274842,5.899080494,6.132846439,5.921533506,5.731054791,5.624962998,5.963758263,5.793524844,5.355934372,5.966936747,5.809154885,5.352171212,5.88088852,5.919350814,5.699310117,5.695830715,5.759824835,5.558007185,5.930761815,6.191216305,5.587019068,6.057774039,5.971932056,5.873571441,5.898157393,5.67238602,5.584644407,5.793524844,5.853659676,5.822579815,6.051555289,6.339273232,6.154349687,6.176858756,5.701329545,5.926893322,5.731829902,5.351135914,5.188757853,5.739880997,5.828648761,5.738988352,5.769477787,5.858113521,5.692383119,5.592744585
EPHB2,4.650527854,4.71094439,4.80116836,4.70167057,4.809261836,4.837814829,5.427222386,3.857133367,4.578332655,4.963798793,4.71094439,4.471342714,5.095101969,4.700892722,4.359705439,4.581952441,4.23366152,4.563301433,4.569737682,4.71094439,4.864626797,4.067711762,4.605402044,4.744883655,4.647776677,4.717395222,4.777347591,4.52202792,4.556746639,5.002531898,5.192231421,5.458477132,4.702088205,5.085884768,5.088859353,4.855691611,5.563071273,4.71826478,4.586784682,4.588536076,4.457834606,4.842272277,4.614628841,4.814486262,4.082211002,5.06608992,4.857970369,4.758101784,4.697297271,4.68108722,5.100558057,4.768386355,4.882092139,4.671468089
ZNF436-AS1,4.065852168,3.744095023,3.869581862,4.128230154,4.094452933,4.101537238,3.842666544,3.540393884,3.848020698,4.500886874,4.257417221,4.171162846,4.322326901,4.192394769,3.781399937,4.060173086,4.477159387,4.04784787,4.076118274,4.10500961,4.269548631,4.08754159,4.019642859,4.104628134,4.021484832,3.822497656,4.0594454,3.796520941,4.267454057,3.767400931,4.038313139,3.86941838,3.80030361,4.184945455,4.352720787,3.924942205,4.112807134,3.897804584,4.017912975,4.456207235,4.108733435,3.943529574,4.028262828,4.0594454,4.114336793,4.379951373,3.977634737,4.061135544,4.171417828,3.989193311,4.175449556,3.837291137,4.088196037,3.970046105
GRHL3,4.222637835,4.023097974,4.180580069,4.04809453,4.008923252,4.175060029,3.707685652,3.94617701,4.025960807,4.358448847,4.05058875,4.176795799,3.981360285,3.708048142,3.751482631,4.028966543,4.030794529,4.114850023,4.019116555,4.174898267,4.056120901,3.837809036,4.105704187,4.197674351,3.731746217,3.906675894,4.035113602,3.714732609,4.426994261,3.942898999,3.812207571,4.28565609,3.850989479,3.942620378,4.143696124,3.757519123,3.739220584,3.837485615,3.99841096,4.091079448,4.327701745,4.367071253,3.950256647,3.952921001,4.178645396,4.129566167,3.695891193,4.081192071,4.105701767,4.122905601,3.976153057,3.977819553,3.823076136,3.906620793
NIPAL3,4.985646872,5.147692696,5.062844321,5.331629587,5.239877055,5.134450896,5.21697519,5.042880146,4.792223191,4.700879275,4.875667402,5.366155608,5.036687119,4.862889637,5.239877055,5.295881498,4.53403289,5.208170252,5.174302891,5.382069565,5.088878517,5.47198895,5.45071539,5.239877055,5.171351015,5.437958673,5.690825803,4.937041819,4.940526195,5.4834397,5.57354483,5.48285735,5.159418843,5.373544175,5.157848109,5.438094689,5.422129026,4.754143785,5.310185671,5.069184511,5.265891245,5.189241143,5.226761213,4.839611857,5.432110691,5.709550765,5.157739446,5.234148241,5.277164801,5.398936909,5.448658013,5.197038823,5.239877055,5.301321397
LDLRAP1,6.762610152,6.889714559,7.617872484,7.180343639,6.970540286,7.249899255,6.957302608,7.029301141,6.66993218,7.036853836,7.343704474,6.764991545,6.939547722,6.764657254,7.024722021,6.484470163,6.979523889,7.205433012,7.467729968,7.104374234,6.750610098,7.14479629,7.11769131,7.186857968,6.712701019,7.014833271,7.546551978,7.068163548,7.258267587,6.786654089,7.018278993,7.085422825,6.947003146,6.976187956,7.183425797,7.090479941,7.060018445,6.020551204,6.788238519,6.671533415,6.896304686,7.125064987,6.923272438,6.782887447,7.279851394,7.034640289,7.177917267,6.708318673,7.051573554,7.391681534,6.633824809,7.204077077,7.5547433,7.071535795
