Ensembl ID,Gene Symbol
ENSG00000275035,CCDC92
ENSG00000277101,ARHGEF26
ENSG00000280759,AP2A2
ENSG00000275031,METRNL
ENSG00000263160,TMEM50B
ENSG00000275873,LMNTD2
ENSG00000275555,DLL1
ENSG00000276825,DRD4
ENSG00000273494,PANK4
ENSG00000273859,RASSF7
ENSG00000275581,SERF1A
ENSG00000276341,RDH13
ENSG00000274078,TSEN34
ENSG00000276016,ABR
ENSG00000274473,SCT
ENSG00000273896,TSEN34
ENSG00000274504,RDH13
ENSG00000273564,FAM189A1
ENSG00000274796,TSEN34
ENSG00000276826,RDH13
ENSG00000281385,AP2A2
ENSG00000275474,RDH13
ENSG00000275165,TSEN34
ENSG00000262607,IQSEC3
ENSG00000272670,DOC2B
ENSG00000276799,WNT9B
ENSG00000277804,PRTN3
ENSG00000276497,APBA1
ENSG00000274538,PHLDA2
ENSG00000282107,TMEM255B
ENSG00000275746,KLF13
ENSG00000275867,KANSL1
ENSG00000263014,ATP6V1G3
ENSG00000281861,SLC9A3
ENSG00000229071,PRRT1
ENSG00000275565,ALOX5
ENSG00000273944,RDH13
ENSG00000274672,TSEN34
ENSG00000278284,RDH13
ENSG00000274474,YWHAE
ENSG00000278741,ABR
ENSG00000274671,MARVELD2
ENSG00000278712,TSEN34
ENSG00000238134,EHMT2
ENSG00000273594,EEF1D
ENSG00000278458,KANSL1
ENSG00000234704,BRD2
ENSG00000277015,SALL3
ENSG00000282266,ATP9B
ENSG00000274273,ATP9B
ENSG00000263310,SALL3
ENSG00000276684,RDH13
ENSG00000276111,SDCCAG8
ENSG00000238056,PRRT1
ENSG00000236399,TRIM40
ENSG00000278605,TSEN34
ENSG00000235307,BRD2
ENSG00000273889,FAM83H
ENSG00000280529,TAF4
ENSG00000280641,CDH4
ENSG00000274129,TSEN34
ENSG00000235708,COL11A2
ENSG00000278253,OR5P3
ENSG00000224496,TRIM40
ENSG00000274418,RDH13
ENSG00000276996,SLC6A3
ENSG00000274287,SCRIB
ENSG00000225141,PRRT1
ENSG00000274247,PRSS1
ENSG00000172524,TRIM40
ENSG00000232045,EHMT2
ENSG00000224143,EHMT2
ENSG00000223887,PRR3
ENSG00000278622,TSEN34
ENSG00000275779,NTAN1
ENSG00000012817,KDM5D
ENSG00000274336,CDIP1
ENSG00000278268,MOAP1
ENSG00000275947,TMEM251
ENSG00000275851,MLLT6
ENSG00000278183,ABCC1
ENSG00000278149,RDH13
ENSG00000223766,PRR3
ENSG00000228186,PRR3
ENSG00000232541,COL11A2
ENSG00000230678,BRD2
ENSG00000274958,ITPK1
ENSG00000277292,PIP4K2B
ENSG00000235956,PRRT1
ENSG00000277276,OTUB2
ENSG00000276432,RDM1
ENSG00000228001,TRIM40
ENSG00000227122,PRRT1
ENSG00000206366,ZBTB12
ENSG00000236759,EHMT2
ENSG00000276194,HNF1B
ENSG00000273608,SRCIN1
ENSG00000227458,TRIM40
ENSG00000237046,TRIM40
ENSG00000234196,ZBTB12
ENSG00000229488,PRRT1
ENSG00000281665,KIAA1143
ENSG00000280610,KIF15
ENSG00000233564,PRR3
ENSG00000280808,OR5P3
ENSG00000227333,EHMT2
ENSG00000236227,BRD2
ENSG00000281277,FOXR1
ENSG00000280682,HYOU1
ENSG00000234852,ZBTB12
ENSG00000206331,PRRT1
ENSG00000281879,ABO
ENSG00000229202,PRR3
ENSG00000281022,MED22
ENSG00000280858,RPL7A
ENSG00000281813,KAT6B
ENSG00000234507,BRD2
ENSG00000132963,POMP
ENSG00000280477,RASA3
ENSG00000237900,ZBTB12
ENSG00000223699,COL11A2
ENSG00000233931,TRIM40
ENSG00000102743,SLC25A15
ENSG00000281324,LRP6
ENSG00000132970,WASF3
ENSG00000280962,DUSP16
ENSG00000151778,SERP2
ENSG00000282880,B3GALNT2
ENSG00000204899,MZT1
ENSG00000133116,KL
ENSG00000083535,PIBF1
ENSG00000136122,BORA
ENSG00000120690,ELF1
